,real,predict
411,294.35001,295.22052
412,293.07999,294.4713
413,288.53,294.19742
414,291.26999,293.7915
415,293.23999,293.4266
416,296.28,293.35208
417,295.95001,293.43655
418,298.88,293.84805
419,298.39999,294.67593
420,299.28,295.64883
421,297.97,296.58972
422,299.98999,297.17728
423,299.01001,297.70502
424,299.88,298.138
425,300.37,298.61618
426,301.60001,299.1708
427,303.29999,299.75632
428,303.20998999999995,300.42996
429,304.14001,301.0672
430,303.32999,301.6365
431,306.1400100000001,301.9229
432,307.37,302.11768
433,307.03,302.4916
434,307.10001,303.14633
435,308.17999,304.00644
436,308.94,304.9123
437,308.35001,305.78702
438,309.0,306.62842
439,309.10001,307.3414
440,309.54999,307.84286
441,311.79001,308.19913
442,312.01999,308.5288
443,311.92999,308.9573
444,310.76999,309.3392
445,310.26999,309.50568
446,310.95999,309.6453
447,313.37,309.96014
448,314.07999000000007,310.56516
449,315.48001,311.42224
450,314.31,312.3843
451,311.64001,313.29187
452,309.54999,313.62183
453,311.45999,313.30585
454,312.01999,312.90295
455,314.87,312.77414
456,313.88,313.0413
457,313.53,313.58118
458,314.42001,314.06772
459,317.13000000000005,314.42032
460,317.32001,314.5013
461,319.5,314.4763
462,319.57001,314.62634
463,319.59,315.13446
464,320.89999,316.00754
465,320.73001,316.86646
466,321.22,317.10782
467,321.23001,317.4797
468,322.94,318.4492
469,322.85999,319.8933
470,321.07999,321.31052
471,321.85999000000004,322.26224
472,324.87,322.72845
473,322.41,323.03476
474,323.64001,323.00858
475,322.73001,322.99014
476,324.45001,323.16364
477,326.64999,323.44705
478,325.70999,324.00775
479,327.95001,324.6725
480,327.45001,325.481
481,328.19,326.16354
482,330.92001,326.61435
483,331.95001,327.18524
484,331.29999,327.67404
485,331.34,328.1154
486,331.72,328.81247
487,328.76999,329.70773
488,323.5,330.2326
489,326.89001,330.05984
490,326.62000000000006,329.75366
491,327.67999,329.64212
492,321.73001,329.60944
493,324.11999999999995,329.00858
494,329.06000000000006,328.39548
495,332.85999,328.3225
496,333.98001,328.82132
497,332.20001,329.8473
498,334.67999,330.8699
499,335.26001,331.95746
500,337.42001,332.9504
501,337.06,333.97128
502,337.60001,334.86978
503,336.73000999999994,335.5568
504,338.34,336.06122
505,336.95001,336.6674
506,333.48001,337.07712
507,322.42001000000005,336.8098
508,312.64999,335.26416
509,311.5,332.25427
510,297.51001,328.72723
511,296.26001,324.32767
512,309.09,319.0347
513,300.23999,314.78943
514,312.85999,311.31506
515,302.45999,309.6543
516,297.45999,308.80954
517,274.23001,307.59467
518,288.42001,304.46317
519,274.35999,300.73724
